feature_1,feature_2,rankA_mean_abs,n_co_sample,rankB_per_occurrence,joint_signed,in_rankA_top,in_rankB_top,n_both_full,rate_both,rate_f1_only,rate_f2_only,rate_neither,int_coef_logodds,int_p_value,note,int_q_value_FDR,main_dir_1,main_dir_2,interpretation
발생지점_영업소(TG),원인차차종_승용,0.025,64,0.2856,0.2856,True,True,3201,0.0403,0.0195,0.0924,0.1692,1.3611,0.0,,0.0,-0.8199,-0.1514,보호효과 약화(이질성)
주사고원인_주시태만,원인차차종_승용,0.0217,293,0.0699,-0.0699,True,True,10555,0.1354,0.1824,0.0779,0.1261,-0.111,0.0352,,0.0603,0.2981,-0.1514,조건부 우세(혼합)
주사고원인_주시태만,발생지점_본선,0.0192,389,0.0539,0.0539,True,False,11105,0.2222,0.0538,0.1105,0.0548,0.4388,0.0,,0.0,0.2981,0.1733,위험 증폭(시너지)
주사고원인_졸음,원인차차종_승용,0.011,154,0.0596,-0.0595,True,True,5950,0.1563,0.2564,0.0808,0.1194,-0.0596,0.3044,,0.332,0.3331,-0.1514,조건부 우세(혼합)
발생지점_본선,원인차차종_승용,0.0103,920,0.0094,-0.0092,True,False,38819,0.1041,0.1906,0.0489,0.0614,-0.0889,0.167,,0.1909,0.1733,-0.1514,조건부 우세(혼합)
사고시도로환경_정상,노면상태_습기,0.0095,196,0.0087,-0.0087,True,False,10126,0.0767,0.1271,0.0767,0.0329,-0.2497,0.098,,0.1238,0.0211,-0.1456,조건부 우세(혼합)
주사고원인_주시태만,조명시설_해당없음(주간),0.0091,238,0.0345,-0.0345,True,False,9285,0.1343,0.177,0.0833,0.1068,-0.0992,0.0576,,0.0812,0.2981,-0.0969,조건부 우세(혼합)
주사고원인_노면잡물,발생지점_본선,0.0088,121,0.1083,-0.1083,True,True,7540,0.0114,0.0039,0.1504,0.0561,0.2133,0.6919,,0.6919,-1.9089,0.1733,조건부 우세(혼합)
발생지점_본선,노면상태_습기,0.0087,312,0.0216,-0.0216,True,False,14739,0.0948,0.145,0.0366,0.0607,-0.0583,0.4791,,0.4999,0.1733,-0.1456,조건부 우세(혼합)
주사고원인_주시태만,발생지점_영업소(TG),0.0085,71,0.1701,-0.1701,True,True,4311,0.0223,0.1962,0.0313,0.0994,-0.9345,0.0,,0.0,0.2981,-0.8199,조건부 우세(혼합)
주사고원인_노면잡물,사고시도로환경_정상,0.0083,100,0.0966,-0.0966,True,True,5987,0.0102,0.0121,0.1303,0.0704,-1.5216,0.0,,0.0,-1.9089,0.0211,조건부 우세(혼합)
주사고원인_노면잡물,사고직전차량조작_운행차로주행,0.0076,126,0.0474,-0.0474,True,False,8025,0.0091,0.0565,0.1186,0.1195,-1.6401,0.0,,0.0,-1.9089,-0.0095,보호 시너지
사고시도로환경_정상,노면상태_건조,0.0075,1466,0.0055,0.0055,True,False,56191,0.1274,0.0765,0.029,0.0769,0.4049,0.0137,,0.0252,0.0211,0.0197,위험 증폭(시너지)
발생지점_램프,원인차차종_승용,0.0073,147,0.0453,-0.0453,True,False,8090,0.0284,0.0713,0.1003,0.1519,-0.468,0.0,,0.0,-0.2778,-0.1514,보호 시너지
주사고원인_과속,발생지점_본선,0.0069,296,0.0131,-0.0131,True,False,13022,0.0938,0.0465,0.1433,0.058,-0.2555,0.001,,0.0022,0.0293,0.1733,중복(완충)
주사고원인_노면잡물,조명시설_해당없음(주간),0.006,65,0.1131,-0.1131,False,True,4379,0.0082,0.0135,0.1039,0.1346,-0.3632,0.0974,,0.1238,-1.9089,-0.0969,보호 시너지
주사고원인_주시태만,사고직전차량조작_핸들과대조작,0.0053,64,0.0809,-0.0809,False,True,2467,0.1094,0.1626,0.096,0.0943,-0.3279,0.0001,,0.0002,0.2981,-0.1409,조건부 우세(혼합)
주사고원인_노면잡물,조명시설_없음,0.0049,36,0.1927,0.1927,False,True,1731,0.0173,0.009,0.1697,0.11,0.452,0.048,,0.072,-1.9089,0.017,조건부 우세(혼합)
원인차차종_승합,차종구분_대형,0.0043,44,0.138,0.138,False,True,987,0.2827,0.1146,0.1111,0.1047,0.9638,0.0,,0.0,0.1127,0.0743,위험 증폭(시너지)
발생지점_영업소(TG),차종구분_미상,0.004,33,0.1342,-0.1342,False,True,2056,0.0117,0.0315,0.1337,0.1164,-1.1984,0.0,,0.0,-0.8199,-0.0398,보호 시너지
발생지점_영업소(TG),조명시설_작동,0.0031,68,0.0696,-0.0696,False,True,3531,0.0229,0.0295,0.1267,0.1142,-0.4045,0.0043,,0.0087,-0.8199,0.0277,조건부 우세(혼합)
주사고원인_안전거리미확보,원인차차종_승용,0.0031,37,0.0637,-0.0637,False,True,1084,0.1808,0.3439,0.0874,0.1357,-0.4015,0.0007,,0.0016,0.5945,-0.1514,조건부 우세(혼합)
주사고원인_안전거리미확보,조명시설_해당없음(주간),0.0028,44,0.0741,0.0741,False,True,996,0.25,0.2417,0.0906,0.1203,0.2346,0.0457,,0.072,0.5945,-0.0969,조건부 우세(혼합)
주사고원인_노면잡물,차종구분_소형,0.0026,34,0.1126,0.1126,False,True,1744,0.0143,0.0098,0.1171,0.1192,0.3328,0.1623,,0.1909,-1.9089,0.0145,조건부 우세(혼합)
