변수,β,z,OR,CI하한,CI상한,p값,유의,방향
주사고원인_-,-1.0264,-3.5877,0.3583,0.2045,0.6277,0.0003,***,감소
주사고원인_기타,0.0091,0.1929,1.0091,0.92,1.107,0.847,,비유의
주사고원인_노면잡물,-2.3192,-20.319,0.0984,0.0786,0.123,0.0,***,감소
주사고원인_단독차량화재,-3.0813,-12.304,0.0459,0.0281,0.075,0.0,***,감소
주사고원인_도로사정,-1.8726,-6.7485,0.1537,0.0892,0.2648,0.0,***,감소
주사고원인_동물침입,-1.1167,-6.8317,0.3274,0.2376,0.451,0.0,***,감소
주사고원인_안전거리미확보,0.7282,10.8738,2.0714,1.8166,2.3619,0.0,***,증가
주사고원인_적재불량,-1.8038,-7.2271,0.1647,0.101,0.2686,0.0,***,감소
주사고원인_졸음,0.4519,9.7082,1.5713,1.4343,1.7214,0.0,***,증가
주사고원인_주시태만,0.4301,10.7073,1.5374,1.421,1.6633,0.0,***,증가
주사고원인_차량결함기타,-0.7542,-4.1049,0.4704,0.3281,0.6743,0.0,***,감소
주사고원인_차량기타,-1.1733,-5.3865,0.3094,0.2019,0.4741,0.0,***,감소
주사고원인_추월불량,0.4784,6.1341,1.6136,1.3848,1.8801,0.0,***,증가
주사고원인_타이어파손,-0.5528,-7.417,0.5753,0.4971,0.6658,0.0,***,감소
교통장애요인_기타,1.0247,9.0291,2.7862,2.2305,3.4803,0.0,***,증가
교통장애요인_정차차량,1.2386,21.2251,3.4507,3.0777,3.8688,0.0,***,증가
교통장애요인_정체,1.1513,15.1514,3.1622,2.7246,3.67,0.0,***,증가
발생지점_기타,-0.5699,-1.7934,0.5656,0.3034,1.0543,0.0729,,비유의
발생지점_램프,-1.204,-24.503,0.3,0.2724,0.3303,0.0,***,감소
발생지점_영업소(TG),-2.0947,-29.9608,0.1231,0.1073,0.1412,0.0,***,감소
발생지점_터널,-0.1951,-3.4193,0.8228,0.7357,0.9201,0.0006,***,감소
발생지점_휴게소,-0.4093,-4.2462,0.6641,0.5497,0.8022,0.0,***,감소
운전자상태_기타,1.103,12.9202,3.0133,2.549,3.5622,0.0,***,증가
운전자상태_음주,0.3078,4.4705,1.3604,1.1887,1.5569,0.0,***,증가
운전자상태_피로,0.1931,4.016,1.213,1.1039,1.3329,0.0001,***,증가
사고시도로환경_기타,-0.3649,-2.5682,0.6943,0.5255,0.9172,0.0102,*,감소
사고시도로환경_낙하물,-1.2153,-6.1206,0.2966,0.201,0.4377,0.0,***,감소
사고시도로환경_미끄러운노면,0.0117,0.2229,1.0117,0.9131,1.121,0.8236,,비유의
사고시도로환경_시거장애,-0.437,-2.9872,0.646,0.4849,0.8605,0.0028,**,감소
사고시도로환경_포트홀,-3.6566,-6.4925,0.0258,0.0086,0.0779,0.0,***,감소
원인차차종_기타,1.0297,5.6834,2.8002,1.9632,3.9939,0.0,***,증가
원인차차종_승합,0.6385,12.6828,1.8937,1.7158,2.0901,0.0,***,증가
원인차차종_트레일러,0.9934,9.1445,2.7005,2.1826,3.3414,0.0,***,증가
원인차차종_특수,0.9206,5.4715,2.5107,1.8054,3.4914,0.0,***,증가
원인차차종_화물,0.5417,16.7528,1.719,1.6134,1.8314,0.0,***,증가
날씨_기타,0.265,1.7173,1.3034,0.9632,1.7637,0.0859,,비유의
날씨_눈,-0.6669,-6.4858,0.5133,0.4196,0.6279,0.0,***,감소
날씨_비,-0.2669,-3.7198,0.7658,0.6653,0.8814,0.0002,***,감소
날씨_흐림,0.0152,0.4236,1.0153,0.9464,1.0892,0.6718,,비유의
조명시설_미작동,0.0488,0.7186,1.05,0.9192,1.1994,0.4724,,비유의
조명시설_없음,0.2145,6.5438,1.2393,1.1622,1.3215,0.0,***,증가
조명시설_작동,0.1781,6.0074,1.1949,1.1275,1.2664,0.0,***,증가
노면상태_기타,0.0647,0.1855,1.0668,0.5389,2.1119,0.8528,,비유의
노면상태_습기,-0.1959,-2.923,0.8221,0.721,0.9375,0.0035,**,감소
노면상태_적설,-0.1193,-0.596,0.8876,0.5997,1.3138,0.5511,,비유의
연령구분_20대,0.1571,3.278,1.1701,1.0652,1.2853,0.001,**,증가
연령구분_20세미만,-0.0428,-0.6678,0.9581,0.8449,1.0864,0.5042,,비유의
연령구분_30대,0.1345,3.1812,1.144,1.053,1.2428,0.0015,**,증가
연령구분_40대,0.1705,4.2802,1.1859,1.0968,1.2823,0.0,***,증가
연령구분_50대,0.2271,5.6722,1.2549,1.1602,1.3573,0.0,***,증가
