variable,n_categories,chi2,dof,p_value,cramers_v
주사고원인,16,3535.266147589078,15,0.0,0.20557754023290312
교통장애요인,4,2311.2303191372494,3,0.0,0.16646674745784423
발생지점,6,1547.5124778336603,5,0.0,0.13608249439158013
운전자상태,4,959.6050250910528,3,1.0419684939617858e-207,0.10716531567602232
사고시도로환경,6,600.9777827003331,5,1.2433837167132844e-127,0.08458686709752475
원인차차종,6,570.8054133568173,5,4.102143321224329e-121,0.08241788260954762
날씨,5,312.3078050139839,4,2.3963319799404965e-66,0.0608387318229162
조명시설,4,310.00870231624276,3,6.784015313319591e-67,0.06071042097093677
노면상태,4,302.41777720895277,3,2.981856936058036e-65,0.05995517730825108
연령구분,7,270.08254684477646,6,2.0828354961818493e-55,0.05630639432520599
사고직전차량조작,4,261.5131924677254,3,2.1157771474570674e-56,0.0557094988982133
차종구분,9,183.09682517163935,8,2.3021755690896742e-35,0.045848691276442054
절성토구분,7,142.02508377058726,6,3.7455442998897515e-28,0.04041078741269807
평면선형,4,48.27294093130243,3,1.8628952070872508e-10,0.02331348011952474
